title,initiative_url,feedback_url,feedback_count,topic,type_of_act,feedback_period,feedback_start,feedback_end,correct_feedback_url
Gas networks – revision of EU rules on market accessTopicEnergyType of actProposal for a directiveFeedback period26 March 2021 - 18 June 2021,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12911-Gas-networks-revision-of-EU-rules-on-market-access_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12911-Gas-networks-revision-of-EU-rules-on-market-access/feedback,140,Energy,Proposal for a directive,26 March 2021 - 18 June 2021,2021-03-26,2021-06-18,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12911-Gas-networks-revision-of-EU-rules-on-market-access/feedback_en?p_id=14181
Heat pumps – action plan to accelerate roll-out across the EUTopicEnergyType of actCommunicationFeedback period07 June 2023 - 30 August 2023,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13771-Heat-pumps-action-plan-to-accelerate-roll-out-across-the-EU_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13771-Heat-pumps-action-plan-to-accelerate-roll-out-across-the-EU/feedback,137,Energy,Communication,07 June 2023 - 30 August 2023,2023-06-07,2023-08-30,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13771-Heat-pumps-action-plan-to-accelerate-roll-out-across-the-EU/feedback_en?p_id=16957
Late payments – update of EU rulesTopicSingle marketType of actProposal for a regulationFeedback period20 January 2023 - 17 March 2023,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13665-Late-payments-update-of-EU-rules_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13665-Late-payments-update-of-EU-rules/feedback,137,Single market,Proposal for a regulation,20 January 2023 - 17 March 2023,2023-01-20,2023-03-17,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13665-Late-payments-update-of-EU-rules/feedback_en?p_id=16617
Artificial intelligence – ethical and legal requirementsTopicDigital economy and societyType of actProposal for a regulationFeedback period20 February 2020 - 14 June 2020,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/feedback,133,Digital economy and society,Proposal for a regulation,20 February 2020 - 14 June 2020,2020-02-20,2020-06-14,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/feedback_en?p_id=13340
Electricity market – reform of the EU’s electricity market designTopicEnergyType of actProposal for a regulationFeedback period23 January 2023 - 13 February 2023,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13668-Electricity-market-reform-of-the-EUs-electricity-market-design_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13668-Electricity-market-reform-of-the-EUs-electricity-market-design/feedback,133,Energy,Proposal for a regulation,23 January 2023 - 13 February 2023,2023-01-23,2023-02-13,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13668-Electricity-market-reform-of-the-EUs-electricity-market-design/feedback_en?p_id=16832
Protecting biodiversity: nature restoration targets under EU biodiversity strategyTopicEnvironmentType of actProposal for a regulationFeedback period11 January 2021 - 05 April 2021,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12596-Protecting-biodiversity-nature-restoration-targets-under-EU-biodiversity-strategy_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12596-Protecting-biodiversity-nature-restoration-targets-under-EU-biodiversity-strategy/feedback,132,Environment,Proposal for a regulation,11 January 2021 - 05 April 2021,2021-01-11,2021-04-05,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12596-Protecting-biodiversity-nature-restoration-targets-under-EU-biodiversity-strategy/feedback_en?p_id=13742
Reducing carbon emissions – review of emission standards for heavy-duty vehiclesTopicClimate actionType of actProposal for a regulationFeedback period20 December 2021 - 14 March 2022,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13168-Reducing-carbon-emissions-review-of-emission-standards-for-heavy-duty-vehicles_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13168-Reducing-carbon-emissions-review-of-emission-standards-for-heavy-duty-vehicles/feedback,127,Climate action,Proposal for a regulation,20 December 2021 - 14 March 2022,2021-12-20,2022-03-14,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13168-Reducing-carbon-emissions-review-of-emission-standards-for-heavy-duty-vehicles/feedback_en?p_id=15454
Organic farming - action plan for the development of EU organic productionTopicAgriculture and rural developmentType of actCommunicationFeedback period04 September 2020 - 27 November 2020,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12555-Organic-farming-action-plan-for-the-development-of-EU-organic-production_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12555-Organic-farming-action-plan-for-the-development-of-EU-organic-production/feedback,124,Agriculture and rural development,Communication,04 September 2020 - 27 November 2020,2020-09-04,2020-11-27,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12555-Organic-farming-action-plan-for-the-development-of-EU-organic-production/feedback_en?p_id=13489
State aid - revision of the rules on services of general economic interestTopicCompetitionType of actDecisionFeedback period05 June 2025 - 31 July 2025,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14708-State-aid-revision-of-the-rules-on-services-of-general-economic-interest_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14708-State-aid-revision-of-the-rules-on-services-of-general-economic-interest/feedback,122,Competition,Decision,05 June 2025 - 31 July 2025,2025-06-05,2025-07-31,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14708-State-aid-revision-of-the-rules-on-services-of-general-economic-interest/feedback_en?p_id=19786
EU forests – new EU Framework for Forest Monitoring and Strategic PlansTopicEnvironmentType of actProposal for a regulationFeedback period25 August 2022 - 17 November 2022,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13396-EU-forests-new-EU-Framework-for-Forest-Monitoring-and-Strategic-Plans_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13396-EU-forests-new-EU-Framework-for-Forest-Monitoring-and-Strategic-Plans/feedback,117,Environment,Proposal for a regulation,25 August 2022 - 17 November 2022,2022-08-25,2022-11-17,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13396-EU-forests-new-EU-Framework-for-Forest-Monitoring-and-Strategic-Plans/feedback_en?p_id=15824
Machinery Directive - revisionTopicSingle marketType of actProposal for a regulationFeedback period07 June 2019 - 30 August 2019,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/2019-Machinery-Directive-revision_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/2019-Machinery-Directive-revision/feedback,115,Single market,Proposal for a regulation,07 June 2019 - 30 August 2019,2019-06-07,2019-08-30,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/2019-Machinery-Directive-revision/feedback_en?p_id=11498
Review: Restriction of the use of hazardous substances in electronicsTopicEnvironmentType of actReportFeedback period10 March 2022 - 16 June 2022,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13137-Review-Restriction-of-the-use-of-hazardous-substances-in-electronics_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13137-Review-Restriction-of-the-use-of-hazardous-substances-in-electronics/feedback,115,Environment,Report,10 March 2022 - 16 June 2022,2022-03-10,2022-06-16,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13137-Review-Restriction-of-the-use-of-hazardous-substances-in-electronics/feedback_en?p_id=15628
Offshore renewable energy strategyTopicEnergyType of actCommunicationFeedback period16 July 2020 - 24 September 2020,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12517-Offshore-renewable-energy-strategy_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12517-Offshore-renewable-energy-strategy/feedback,114,Energy,Communication,16 July 2020 - 24 September 2020,2020-07-16,2020-09-24,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12517-Offshore-renewable-energy-strategy/feedback_en?p_id=13316
Sustainable corporate governanceTopicJustice and fundamental rightsType of actProposal for a directiveFeedback period26 October 2020 - 08 February 2021,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12548-Sustainable-corporate-governance_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12548-Sustainable-corporate-governance/feedback,114,Justice and fundamental rights,Proposal for a directive,26 October 2020 - 08 February 2021,2020-10-26,2021-02-08,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12548-Sustainable-corporate-governance/feedback_en?p_id=13393
Medicines for children & rare diseases – updated rulesTopicPublic healthType of actProposal for a regulationFeedback period07 May 2021 - 30 July 2021,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12767-Medicines-for-children-rare-diseases-updated-rules_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12767-Medicines-for-children-rare-diseases-updated-rules/feedback,112,Public health,Proposal for a regulation,07 May 2021 - 30 July 2021,2021-05-07,2021-07-30,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12767-Medicines-for-children-rare-diseases-updated-rules/feedback_en?p_id=13850
"Towards zero pollution in air, water and soil – EU action planTopicEnvironmentType of actCommunicationFeedback period11 November 2020 - 10 February 2021",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12588-Towards-zero-pollution-in-air-water-and-soil-EU-action-plan_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12588-Towards-zero-pollution-in-air-water-and-soil-EU-action-plan/feedback,111,Environment,Communication,11 November 2020 - 10 February 2021,2020-11-11,2021-02-10,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12588-Towards-zero-pollution-in-air-water-and-soil-EU-action-plan/feedback_en?p_id=13561
Digital Services Act – deepening the internal market and clarifying responsibilities for digital servicesTopicDigital economy and societyType of actProposal for a regulationFeedback period02 June 2020 - 08 September 2020,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12417-Digital-Services-Act-deepening-the-internal-market-and-clarifying-responsibilities-for-digital-services_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12417-Digital-Services-Act-deepening-the-internal-market-and-clarifying-responsibilities-for-digital-services/feedback,110,Digital economy and society,Proposal for a regulation,02 June 2020 - 08 September 2020,2020-06-02,2020-09-08,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12417-Digital-Services-Act-deepening-the-internal-market-and-clarifying-responsibilities-for-digital-services/feedback_en?p_id=13125
Reducing packaging waste – review of rulesTopicEnvironmentType of actProposal for a regulationFeedback period30 September 2020 - 06 January 2021,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12263-Reducing-packaging-waste-review-of-rules_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12263-Reducing-packaging-waste-review-of-rules/feedback,110,Environment,Proposal for a regulation,30 September 2020 - 06 January 2021,2020-09-30,2021-01-06,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12263-Reducing-packaging-waste-review-of-rules/feedback_en?p_id=13178
Cyber resilience act – new cybersecurity rules for digital products and ancillary servicesTopicDigital economy and societyType of actProposal for a regulationFeedback period16 March 2022 - 25 May 2022,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13410-Cyber-resilience-act-new-cybersecurity-rules-for-digital-products-and-ancillary-services_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13410-Cyber-resilience-act-new-cybersecurity-rules-for-digital-products-and-ancillary-services/feedback,108,Digital economy and society,Proposal for a regulation,16 March 2022 - 25 May 2022,2022-03-16,2022-05-25,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13410-Cyber-resilience-act-new-cybersecurity-rules-for-digital-products-and-ancillary-services/feedback_en?p_id=15724
State aid for environmental protection and energy – revised guidelinesTopicCompetitionType of actCommunicationFeedback period12 November 2020 - 07 January 2021,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12616-State-aid-for-environmental-protection-and-energy-revised-guidelines_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12616-State-aid-for-environmental-protection-and-energy-revised-guidelines/feedback,108,Competition,Communication,12 November 2020 - 07 January 2021,2020-11-12,2021-01-07,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12616-State-aid-for-environmental-protection-and-energy-revised-guidelines/feedback_en?p_id=13778
Textile labelling rules (revision)TopicSingle marketType of actProposal for a regulationFeedback period19 December 2023 - 15 April 2024,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13872-Textile-labelling-rules-revision-_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13872-Textile-labelling-rules-revision-/feedback,108,Single market,Proposal for a regulation,19 December 2023 - 15 April 2024,2023-12-19,2024-04-15,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13872-Textile-labelling-rules-revision-/feedback_en?p_id=17324
Data sharing in the EU – common European data spaces (new rules)TopicDigital economy and societyType of actProposal for a regulationFeedback period20 February 2020 - 03 June 2020,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12491-Data-sharing-in-the-EU-common-European-data-spaces-new-rules-_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12491-Data-sharing-in-the-EU-common-European-data-spaces-new-rules-/feedback,107,Digital economy and society,Proposal for a regulation,20 February 2020 - 03 June 2020,2020-02-20,2020-06-03,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12491-Data-sharing-in-the-EU-common-European-data-spaces-new-rules-/feedback_en?p_id=13256
Polluter Pays Principle – fitness check of its application to the environmentTopicEnvironmentFeedback period12 May 2023 - 04 August 2023,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13546-Polluter-Pays-Principle-fitness-check-of-its-application-to-the-environment_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13546-Polluter-Pays-Principle-fitness-check-of-its-application-to-the-environment/feedback,106,Environment,,12 May 2023 - 04 August 2023,2023-05-12,2023-08-04,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13546-Polluter-Pays-Principle-fitness-check-of-its-application-to-the-environment/feedback_en?p_id=16429
Waste from electrical and electronic equipment – evaluating the EU rulesTopicEnvironmentType of actStaff working documentFeedback period16 June 2023 - 22 September 2023,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13420-Waste-from-electrical-and-electronic-equipment-evaluating-the-EU-rules_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13420-Waste-from-electrical-and-electronic-equipment-evaluating-the-EU-rules/feedback,106,Environment,Staff working document,16 June 2023 - 22 September 2023,2023-06-16,2023-09-22,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13420-Waste-from-electrical-and-electronic-equipment-evaluating-the-EU-rules/feedback_en?p_id=16329
Protecting the marine environment – review of EU rulesTopicEnvironmentType of actStaff working documentFeedback period22 July 2021 - 21 October 2021,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12898-Protecting-the-marine-environment-review-of-EU-rules_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12898-Protecting-the-marine-environment-review-of-EU-rules/feedback,104,Environment,Staff working document,22 July 2021 - 21 October 2021,2021-07-22,2021-10-21,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12898-Protecting-the-marine-environment-review-of-EU-rules/feedback_en?p_id=14428
Digital Europe programme – interim evaluationTopicDigital economy and societyType of actEvaluationFeedback period27 June 2024 - 20 September 2024,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13880-Digital-Europe-programme-interim-evaluation_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13880-Digital-Europe-programme-interim-evaluation/feedback,103,Digital economy and society,Evaluation,27 June 2024 - 20 September 2024,2024-06-27,2024-09-20,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13880-Digital-Europe-programme-interim-evaluation/feedback_en?p_id=18417
Sustainable transport – new urban mobility frameworkTopicTransportType of actCommunicationFeedback period01 July 2021 - 23 September 2021,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12916-Sustainable-transport-new-urban-mobility-framework_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12916-Sustainable-transport-new-urban-mobility-framework/feedback,103,Transport,Communication,01 July 2021 - 23 September 2021,2021-07-01,2021-09-23,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12916-Sustainable-transport-new-urban-mobility-framework/feedback_en?p_id=14492
National emissions reduction targets (Effort Sharing Regulation) – review based on 2030 climate target planTopicClimate actionType of actProposal for a regulationFeedback period13 November 2020 - 05 February 2021,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12656-National-emissions-reduction-targets-Effort-Sharing-Regulation-review-based-on-2030-climate-target-plan_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12656-National-emissions-reduction-targets-Effort-Sharing-Regulation-review-based-on-2030-climate-target-plan/feedback,101,Climate action,Proposal for a regulation,13 November 2020 - 05 February 2021,2020-11-13,2021-02-05,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12656-National-emissions-reduction-targets-Effort-Sharing-Regulation-review-based-on-2030-climate-target-plan/feedback_en?p_id=13722
Deforestation and forest degradation – reducing the impact of products placed on the EU marketTopicEnvironmentType of actProposal for a regulationFeedback period03 September 2020 - 10 December 2020,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12137-Deforestation-and-forest-degradation-reducing-the-impact-of-products-placed-on-the-EU-market_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12137-Deforestation-and-forest-degradation-reducing-the-impact-of-products-placed-on-the-EU-market/feedback,99,Environment,Proposal for a regulation,03 September 2020 - 10 December 2020,2020-09-03,2020-12-10,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12137-Deforestation-and-forest-degradation-reducing-the-impact-of-products-placed-on-the-EU-market/feedback_en?p_id=12444
EU chemicals strategy for sustainability – Cosmetic Products Regulation (revision)TopicSingle marketType of actProposal for a regulationFeedback period29 March 2022 - 21 June 2022,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13197-EU-chemicals-strategy-for-sustainability-Cosmetic-Products-Regulation-revision-_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13197-EU-chemicals-strategy-for-sustainability-Cosmetic-Products-Regulation-revision-/feedback,98,Single market,Proposal for a regulation,29 March 2022 - 21 June 2022,2022-03-29,2022-06-21,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13197-EU-chemicals-strategy-for-sustainability-Cosmetic-Products-Regulation-revision-/feedback_en?p_id=15131
Innovation Fund – evaluation of its operationTopicClimate actionType of actEvaluationFeedback period15 April 2025 - 08 July 2025,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14228-Innovation-Fund-evaluation-of-its-operation_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14228-Innovation-Fund-evaluation-of-its-operation/feedback,97,Climate action,Evaluation,15 April 2025 - 08 July 2025,2025-04-15,2025-07-08,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14228-Innovation-Fund-evaluation-of-its-operation/feedback_en?p_id=19518
"Land use, land use change & forestry – review of EU rulesTopicClimate actionType of actProposal for a regulationFeedback period13 November 2020 - 05 February 2021",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12657-Land-use-land-use-change-forestry-review-of-EU-rules_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12657-Land-use-land-use-change-forestry-review-of-EU-rules/feedback,93,Climate action,Proposal for a regulation,13 November 2020 - 05 February 2021,2020-11-13,2021-02-05,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12657-Land-use-land-use-change-forestry-review-of-EU-rules/feedback_en?p_id=13723
Data Act & amended rules on the legal protection of databasesTopicDigital economy and societyType of actProposal for a regulationFeedback period03 June 2021 - 03 September 2021,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13045-Data-Act-amended-rules-on-the-legal-protection-of-databases_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13045-Data-Act-amended-rules-on-the-legal-protection-of-databases/feedback,91,Digital economy and society,Proposal for a regulation,03 June 2021 - 03 September 2021,2021-06-03,2021-09-03,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13045-Data-Act-amended-rules-on-the-legal-protection-of-databases/feedback_en?p_id=14626
Energy security architecture – fitness checkTopicEnergyFeedback period03 September 2024 - 26 November 2024,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14392-Energy-security-architecture-fitness-check_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14392-Energy-security-architecture-fitness-check/feedback,90,Energy,,03 September 2024 - 26 November 2024,2024-09-03,2024-11-26,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14392-Energy-security-architecture-fitness-check/feedback_en?p_id=18652
European standardisation – evaluationTopicSingle marketType of actStaff working documentFeedback period02 May 2024 - 25 July 2024,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13446-European-standardisation-evaluation_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13446-European-standardisation-evaluation/feedback,90,Single market,Staff working document,02 May 2024 - 25 July 2024,2024-05-02,2024-07-25,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13446-European-standardisation-evaluation/feedback_en?p_id=17385
Violence against women and domestic violence – fitness check of EU legislationTopicJustice and fundamental rightsFeedback period08 February 2021 - 10 May 2021,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12472-Violence-against-women-and-domestic-violence-fitness-check-of-EU-legislation_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12472-Violence-against-women-and-domestic-violence-fitness-check-of-EU-legislation/feedback,90,Justice and fundamental rights,,08 February 2021 - 10 May 2021,2021-02-08,2021-05-10,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12472-Violence-against-women-and-domestic-violence-fitness-check-of-EU-legislation/feedback_en?p_id=13263
Bus and coach drivers – EU rules on driving and rest timesTopicTransportType of actProposal for a regulationFeedback period23 November 2021 - 15 February 2022,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12488-Bus-and-coach-drivers-EU-rules-on-driving-and-rest-times_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12488-Bus-and-coach-drivers-EU-rules-on-driving-and-rest-times/feedback,87,Transport,Proposal for a regulation,23 November 2021 - 15 February 2022,2021-11-23,2022-02-15,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12488-Bus-and-coach-drivers-EU-rules-on-driving-and-rest-times/feedback_en?p_id=14106
Common fisheries policy – evaluationTopicMaritime affairs and fisheriesType of actEvaluationFeedback period27 January 2025 - 21 April 2025,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14203-Common-fisheries-policy-evaluation_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14203-Common-fisheries-policy-evaluation/feedback,87,Maritime affairs and fisheries,Evaluation,27 January 2025 - 21 April 2025,2025-01-27,2025-04-21,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14203-Common-fisheries-policy-evaluation/feedback_en?p_id=18380
Low-emission vehicles – improving the EU’s refuelling/recharging infrastructureTopicTransportType of actProposal for a regulationFeedback period06 April 2020 - 29 June 2020,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12251-Low-emission-vehicles-improving-the-EUs-refuelling-recharging-infrastructure_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12251-Low-emission-vehicles-improving-the-EUs-refuelling-recharging-infrastructure/feedback,86,Transport,Proposal for a regulation,06 April 2020 - 29 June 2020,2020-04-06,2020-06-29,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12251-Low-emission-vehicles-improving-the-EUs-refuelling-recharging-infrastructure/feedback_en?p_id=12982
Revision of the Union Customs CodeTopicCustomsType of actProposal for a directiveFeedback period20 July 2022 - 19 September 2022,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13316-Revision-of-the-Union-Customs-Code_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13316-Revision-of-the-Union-Customs-Code/feedback,86,Customs,Proposal for a directive,20 July 2022 - 19 September 2022,2022-07-20,2022-09-19,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13316-Revision-of-the-Union-Customs-Code/feedback_en?p_id=16121
Digital Services Act package – ex ante regulatory instrument of very large online platforms acting as gatekeepersTopicDigital economy and societyType of actProposal for a regulationFeedback period02 June 2020 - 08 September 2020,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12418-Digital-Services-Act-package-ex-ante-regulatory-instrument-of-very-large-online-platforms-acting-as-gatekeepers_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12418-Digital-Services-Act-package-ex-ante-regulatory-instrument-of-very-large-online-platforms-acting-as-gatekeepers/feedback,85,Digital economy and society,Proposal for a regulation,02 June 2020 - 08 September 2020,2020-06-02,2020-09-08,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12418-Digital-Services-Act-package-ex-ante-regulatory-instrument-of-very-large-online-platforms-acting-as-gatekeepers/feedback_en?p_id=13126
Food waste – reduction targetsTopicFood safetyType of actProposal for a directiveFeedback period24 May 2022 - 24 August 2022,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13223-Food-waste-reduction-targets_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13223-Food-waste-reduction-targets/feedback,85,Food safety,Proposal for a directive,24 May 2022 - 24 August 2022,2022-05-24,2022-08-24,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13223-Food-waste-reduction-targets/feedback_en?p_id=15125
"Blood, tissues and cells for medical treatments & therapies – revised EU rulesTopicPublic healthType of actProposal for a regulationFeedback period21 January 2021 - 15 April 2021",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12734-Blood-tissues-and-cells-for-medical-treatments-therapies-revised-EU-rules_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12734-Blood-tissues-and-cells-for-medical-treatments-therapies-revised-EU-rules/feedback,82,Public health,Proposal for a regulation,21 January 2021 - 15 April 2021,2021-01-21,2021-04-15,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12734-Blood-tissues-and-cells-for-medical-treatments-therapies-revised-EU-rules/feedback_en?p_id=13782
Blue bioeconomy – towards a strong and sustainable EU algae sectorTopicMaritime affairs and fisheriesType of actCommunicationFeedback period19 May 2021 - 11 August 2021,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12780-Blue-bioeconomy-towards-a-strong-and-sustainable-EU-algae-sector_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12780-Blue-bioeconomy-towards-a-strong-and-sustainable-EU-algae-sector/feedback,82,Maritime affairs and fisheries,Communication,19 May 2021 - 11 August 2021,2021-05-19,2021-08-11,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12780-Blue-bioeconomy-towards-a-strong-and-sustainable-EU-algae-sector/feedback_en?p_id=13999
